institution_name,academic_year,total
"Angelo State University",fall_2021,10485
"Angelo State University",fall_2022,10244
"Angelo State University",fall_2023,10885
"Lamar University",fall_2021,15687
"Lamar University",fall_2022,16218
"Lamar University",fall_2023,16919
"Midwestern State University",fall_2021,5387
"Midwestern State University",fall_2022,5422
"Midwestern State University",fall_2023,5172
"Prairie View A&M University",fall_2021,9353
"Prairie View A&M University",fall_2022,8998
"Prairie View A&M University",fall_2023,9415
"Sam Houston State University",fall_2021,21219
"Sam Houston State University",fall_2022,20996
"Sam Houston State University",fall_2023,20761
"Stephen F. Austin State University",fall_2021,11888
"Stephen F. Austin State University",fall_2022,11232
"Stephen F. Austin State University",fall_2023,10781
"Sul Ross State University",fall_2021,1485
"Sul Ross State University",fall_2022,1353
"Sul Ross State University",fall_2023,1449
"Sul Ross State University Rio Grande College",fall_2021,840
"Sul Ross State University Rio Grande College",fall_2022,718
"Sul Ross State University Rio Grande College",fall_2023,642
"Tarleton State University",fall_2021,13995
"Tarleton State University",fall_2022,14093
"Tarleton State University",fall_2023,14513
"Texas A&M International University",fall_2021,8145
"Texas A&M International University",fall_2022,8193
"Texas A&M International University",fall_2023,8256
"Texas A&M University",fall_2021,66057
"Texas A&M University",fall_2022,67165
"Texas A&M University",fall_2023,69517
"Texas A&M University at Galveston",fall_2021,2168
"Texas A&M University at Galveston",fall_2022,2232
"Texas A&M University at Galveston",fall_2023,2151
"Texas A&M University-Central Texas",fall_2021,2218
"Texas A&M University-Central Texas",fall_2022,2194
"Texas A&M University-Central Texas",fall_2023,2251
"Texas A&M University-Commerce",fall_2021,10966
"Texas A&M University-Commerce",fall_2022,10754
"Texas A&M University-Commerce",fall_2023,11500
"Texas A&M University-Corpus Christi",fall_2021,10762
"Texas A&M University-Corpus Christi",fall_2022,10778
"Texas A&M University-Corpus Christi",fall_2023,10855
"Texas A&M University-Kingsville",fall_2021,6375
"Texas A&M University-Kingsville",fall_2022,6070
"Texas A&M University-Kingsville",fall_2023,6553
"Texas A&M University-San Antonio",fall_2021,6858
"Texas A&M University-San Antonio",fall_2022,7223
"Texas A&M University-San Antonio",fall_2023,7511
"Texas A&M University-Texarkana",fall_2021,2078
"Texas A&M University-Texarkana",fall_2022,2073
"Texas A&M University-Texarkana",fall_2023,2056
"Texas Southern University",fall_2021,7524
"Texas Southern University",fall_2022,8632
"Texas Southern University",fall_2023,8469
"Texas State University",fall_2021,37864
"Texas State University",fall_2022,38171
"Texas State University",fall_2023,38723
"Texas Tech University",fall_2021,39451
"Texas Tech University",fall_2022,39743
"Texas Tech University",fall_2023,40092
"Texas Woman's University",fall_2021,15828
"Texas Woman's University",fall_2022,15443
"Texas Woman's University",fall_2023,15180
"The University of Texas at Arlington",fall_2021,41515
"The University of Texas at Arlington",fall_2022,40942
"The University of Texas at Arlington",fall_2023,41376
"The University of Texas at Austin",fall_2021,51786
"The University of Texas at Austin",fall_2022,52189
"The University of Texas at Austin",fall_2023,52883
"The University of Texas at Dallas",fall_2021,29696
"The University of Texas at Dallas",fall_2022,31570
"The University of Texas at Dallas",fall_2023,30885
"The University of Texas at El Paso",fall_2021,24003
"The University of Texas at El Paso",fall_2022,23880
"The University of Texas at El Paso",fall_2023,24351
"The University of Texas at San Antonio",fall_2021,34177
"The University of Texas at San Antonio",fall_2022,33557
"The University of Texas at San Antonio",fall_2023,34864
"The University of Texas at Tyler",fall_2021,9218
"The University of Texas at Tyler",fall_2022,8968
"The University of Texas at Tyler",fall_2023,9442
"The University of Texas Permian Basin",fall_2021,5043
"The University of Texas Permian Basin",fall_2022,5250
"The University of Texas Permian Basin",fall_2023,5283
"The University of Texas Rio Grande Valley",fall_2021,31718
"The University of Texas Rio Grande Valley",fall_2022,31317
"The University of Texas Rio Grande Valley",fall_2023,31577
"University of Houston",fall_2021,46971
"University of Houston",fall_2022,46580
"University of Houston",fall_2023,46505
"University of Houston-Clear Lake",fall_2021,9279
"University of Houston-Clear Lake",fall_2022,8562
"University of Houston-Clear Lake",fall_2023,8210
"University of Houston-Downtown",fall_2021,15077
"University of Houston-Downtown",fall_2022,14208
"University of Houston-Downtown",fall_2023,14105
"University of Houston-Victoria",fall_2021,4198
"University of Houston-Victoria",fall_2022,4062
"University of Houston-Victoria",fall_2023,3784
"University of North Texas",fall_2021,42168
"University of North Texas",fall_2022,44349
"University of North Texas",fall_2023,46724
"University of North Texas at Dallas",fall_2021,4186
"University of North Texas at Dallas",fall_2022,3701
"University of North Texas at Dallas",fall_2023,3798
"West Texas A&M University",fall_2021,9545
"West Texas A&M University",fall_2022,9242
"West Texas A&M University",fall_2023,9029
